year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost
2019,1,3,3,27.951677070762514,987.0561917452318,3153.0,0,0,0,0,0,0,0,0,766.6980514257946
2019,1,4,4,27.95885961044505,986.9193115537447,3148.0,0,0,0,0,0,0,0,0,766.1165357568493
2019,1,5,5,27.94713048732861,987.8233725559508,3147.0,0,0,0,0,0,0,0,0,766.7464821144464
2019,1,6,6,27.982030565759985,987.8233725559508,3144.0,0,0,0,0,0,0,0,0,766.7464821144464
2019,1,0,7,28.09741703402906,988.8458272305196,3178.0,0,0,0,0,0,0,0,0,768.3227493152718
2019,1,1,8,27.80251506720869,990.174851103647,3086.0,0,0,0,0,0,0,0,0,768.6688677822359
2019,1,2,9,28.369049813958693,990.8837740712128,3011.0,0,0,0,0,0,0,0,0,766.3596759628148
2019,1,3,10,28.565004495662517,993.5536040386916,3094.0,0,0,0,0,0,0,0,0,767.1210557751422
2019,1,4,11,28.337608759914016,995.222844871772,3113.0,0,0,0,0,0,0,0,0,766.5284214298326
2019,1,5,12,28.337608759914016,993.5626132115402,3136.0,0,0,0,0,0,0,0,0,765.9098532818525
2019,1,6,13,28.41621974194983,989.9409915899188,3123.0,0,0,0,0,0,0,0,0,765.9098532818525
2019,1,0,14,28.51267084460026,988.8462005246761,2979.0,0,0,0,0,0,0,0,0,766.9891409110253
2019,1,1,15,28.93558309388898,989.6918939938453,3070.0,0,0,0,0,0,0,0,0,765.2001407280345
2019,1,2,16,29.622197579521803,986.1956419886684,3570.0,0,0,0,0,0,0,0,0,761.4322683127566
2019,1,3,17,30.008200927230593,977.520751647248,2999.0,0,0,0,0,0,0,0,0,759.4996748366003
2019,1,4,18,29.980932231716018,986.3732496366147,2965.0,0,0,0,0,0,0,0,0,764.0937953255171
2019,1,5,19,30.08200184415461,985.0730943854107,3065.0,0,0,0,0,0,0,0,0,762.8128694949486
2019,1,6,20,30.13997237166452,980.8335360724203,3081.0,0,0,0,0,0,0,0,0,762.5887971014482
2019,1,0,21,30.024738757479877,981.635201851504,3012.0,0,0,0,0,0,0,0,0,762.4686858513178
2019,1,1,22,30.061661180038108,988.9973128031199,2990.0,0,0,0,0,0,0,0,0,761.789748094664
2019,1,2,23,30.402331603607326,991.1006414263505,2996.0,0,0,0,0,0,0,0,0,762.0212935171702
2019,1,3,24,29.784795349923968,991.5844102521401,2371.0,0,0,0,0,0,0,0,0,762.0353227661216
2019,1,4,25,29.93801566196452,990.6676181276424,2402.0,0,0,0,0,0,0,0,0,761.886445213378
2019,1,5,26,30.268317962840705,988.2278672413781,2402.0,0,0,0,0,0,0,0,0,761.0241382847024
2019,1,6,27,30.13248141569429,987.7539776632292,2489.0,0,0,0,0,0,0,0,0,760.7912489206083
2019,1,0,28,30.422936554757662,986.6949493698384,2464.0,0,0,0,0,0,0,0,0,761.64290363196
2019,1,1,29,30.477764531329544,986.6933881456697,2480.0,0,0,0,0,0,0,0,0,761.766504557675
2019,1,2,30,30.617349925786648,993.9814089253184,2519.0,0,0,0,0,0,0,0,0,764.1470353369755
2019,1,3,31,30.44611575151834,1003.9590738977071,2561.0,0,0,0,0,0,0,0,0,767.4037565129747
2019,2,4,1,30.637768753180215,1003.409024239207,2532.0,0,0,0,0,0,0,0,0,765.4097828328775
2019,2,5,2,30.642982260306862,996.66222285011,2592.0,0,0,0,0,0,0,0,0,764.9352664255568
2019,2,6,3,30.529198950975452,990.6879144620807,1594.0,0,0,0,0,0,0,0,0,763.3009989417982
2019,2,0,4,30.408713006012526,988.498464726631,1580.0,0,0,0,0,0,0,0,0,764.2660783068775
2019,2,1,5,30.090982366488856,985.8744003624288,1694.0,0,0,0,0,0,0,0,0,763.8049116883332
2019,2,2,6,31.2809689773608,980.16592946424,1692.0,0,0,0,0,0,0,0,0,761.9840464151396
2019,2,3,7,30.64245553300873,982.2276202461474,1730.0,0,0,0,0,0,0,0,0,763.0866136937759
2019,2,4,8,30.626280378304948,979.2857914529907,1702.0,0,0,0,0,0,0,0,0,763.1704468174958
2019,2,5,9,30.63444978993121,979.7121233810492,1746.0,0,0,0,0,0,0,0,0,763.8934086370739
2019,2,6,10,30.65837449452372,981.2481152010903,1746.0,0,0,0,0,0,0,0,0,764.925065078792
2019,2,0,11,30.46164018987063,984.3242150866458,1735.0,0,0,0,0,0,0,0,0,765.6406864796453
2019,2,1,12,30.370766441189197,982.4194457164776,1678.0,0,0,0,0,0,0,0,0,764.7469685567144
2019,2,2,13,30.373940023746826,988.9819690288156,1672.0,0,0,0,0,0,0,0,0,765.9673596317075
2019,2,3,14,30.44130916955994,988.34735002405,1647.0,0,0,0,0,0,0,0,0,765.6887841077437
2019,2,4,15,30.271435353974447,986.8635296512241,1637.0,0,0,0,0,0,0,0,0,767.0423769603648
2019,2,5,16,30.04996471047279,1001.6502734175343,1618.0,0,0,0,0,0,0,0,0,772.3570355613809
2019,2,6,17,29.954945927685824,1006.1131925740306,1583.0,0,0,0,0,0,0,0,0,773.6223850862877
2019,2,0,18,29.804995676291107,1010.7083859266381,1543.0,0,0,0,0,0,0,0,0,771.7965335776923
2019,2,1,19,29.949748616241195,1010.9912319778798,1516.0,0,0,0,0,0,0,0,0,767.3536706366806
2019,2,2,20,30.236276487790736,1014.1069921414315,1485.0,0,0,0,0,0,0,0,0,771.084013131313
2019,2,3,21,30.20364866756393,1018.2013767693032,1474.0,0,0,0,0,0,0,0,0,772.7534400536538
2019,2,4,22,30.535271195698737,1014.1602559901303,1490.0,0,0,0,0,0,0,0,0,772.7287555633598
2019,2,5,23,30.36820677294257,1011.163602525016,1477.0,0,0,0,0,0,0,0,0,773.3299905386507
2019,2,6,24,30.340946063546824,1012.4912193070356,1476.0,0,0,0,0,0,0,0,0,773.4297972543386
2019,2,0,25,30.721239747077888,1012.2970983225973,1471.0,0,0,0,0,0,0,0,0,774.0127866681901
2019,2,1,26,30.49425276314529,1008.3006906294008,1469.0,0,0,0,0,0,0,0,0,772.5979423700011
2019,2,2,27,30.16473688314917,1012.0522981353308,1475.0,0,0,0,0,0,0,0,0,772.7941628882095
2019,2,3,28,30.42485114436425,1014.6640878005086,1469.0,0,0,0,0,0,0,0,0,775.5964463935383
2019,3,4,1,30.931890618801642,1014.9759140954241,1491.0,0,0,0,0,0,0,0,0,775.5912713600894
2019,3,5,2,31.161164413911532,1019.8966147617256,1568.0,0,0,0,0,0,0,0,0,774.787779392218
