ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-07-27,2017,7,3,27,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-28,2017,7,4,28,A,199.37375000000003,199.25250000000003,20.0,199.25250000000003,151.0,0,0,0,0,0,0,0,0,5.0
2017-07-28,2017,7,4,28,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-28,2017,7,4,28,C,901.1188235294117,901.1188235294117,31.0,901.1188235294117,12.0,0,0,0,0,0,0,0,0,3.0
2017-07-28,2017,7,4,28,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-29,2017,7,5,29,A,199.89395833333333,199.89395833333333,20.0,199.89395833333333,1665.0,0,0,0,0,0,0,0,0,2.0
2017-07-29,2017,7,5,29,B,499.6910526315789,499.6910526315789,24.0,499.6910526315789,131.0,0,0,0,0,0,0,0,0,1.0
2017-07-29,2017,7,5,29,C,901.1188235294117,901.1188235294117,31.0,901.1188235294117,12.0,0,0,0,0,0,0,0,0,0.0
2017-07-29,2017,7,5,29,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-30,2017,7,6,30,A,197.1226785714285,197.1226785714285,20.0,197.1226785714285,5155.0,0,0,0,0,0,0,0,0,5.0
2017-07-30,2017,7,6,30,B,499.6910526315789,499.6910526315789,24.0,499.6910526315789,131.0,0,0,0,0,0,0,0,0,0.0
2017-07-30,2017,7,6,30,C,901.1188235294117,901.1188235294117,31.0,901.1188235294117,15.0,0,0,0,0,0,0,0,0,2.0
2017-07-30,2017,7,6,30,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-31,2017,7,0,31,A,195.02697368421045,195.02697368421045,20.0,195.02697368421045,8804.0,0,0,0,0,0,0,0,0,6.0
2017-07-31,2017,7,0,31,B,521.2471428571426,520.0864285714284,24.0,520.0864285714284,165.0,0,0,0,0,0,0,0,0,2.0
2017-07-31,2017,7,0,31,C,921.8219047619049,921.8219047619049,31.0,921.8219047619049,28.0,0,0,0,0,0,0,0,0,1.0
2017-07-31,2017,7,0,31,D,3216.2305555555554,3216.2305555555554,39.0,3216.2305555555554,123.0,0,0,0,0,0,0,0,0,0.0
2017-08-01,2017,8,1,1,A,195.48499999999993,195.48499999999993,20.0,195.48499999999993,9321.0,0,0,0,0,0,0,0,0,3.0
2017-08-01,2017,8,1,1,B,515.3075862068964,514.186896551724,24.0,514.186896551724,1221.0,0,0,0,0,0,0,0,0,2.0
2017-08-01,2017,8,1,1,C,938.956956521739,938.956956521739,31.0,938.956956521739,145.0,0,0,0,0,0,0,0,0,0.0
2017-08-01,2017,8,1,1,D,3216.2305555555554,3216.2305555555554,39.0,3216.2305555555554,120.0,0,0,0,0,0,0,0,0,1.0
2017-08-02,2017,8,2,2,A,195.22358957219242,195.24587121212116,20.0,195.24587121212116,9805.0,0,0,0,0,0,0,0,0,5.0
2017-08-02,2017,8,2,2,B,528.2465624999999,527.2309374999999,24.0,527.2309374999999,1250.0,0,0,0,0,0,0,0,0,3.0
2017-08-02,2017,8,2,2,C,938.956956521739,938.956956521739,31.0,938.956956521739,145.0,0,0,0,0,0,0,0,0,0.0
2017-08-02,2017,8,2,2,D,3216.2305555555554,3216.2305555555554,39.0,3216.2305555555554,120.0,0,0,0,0,0,0,0,0,0.0
2017-08-03,2017,8,3,3,A,190.73319148936162,190.73319148936162,20.0,190.73319148936162,11392.0,0,0,0,0,0,0,0,0,6.0
2017-08-03,2017,8,3,3,B,530.4178787878787,529.4330303030303,24.0,529.4330303030303,1966.0,0,0,0,0,0,0,0,0,3.0
2017-08-03,2017,8,3,3,C,938.956956521739,938.956956521739,31.0,938.956956521739,145.0,0,0,0,0,0,0,0,0,0.0
2017-08-03,2017,8,3,3,D,3216.2305555555554,3216.2305555555554,39.0,3216.2305555555554,123.0,0,0,0,0,0,0,0,0,0.0
2017-08-04,2017,8,4,4,A,186.5603846153845,186.5603846153845,20.0,186.5603846153845,11451.0,0,0,0,0,0,0,0,0,5.0
2017-08-04,2017,8,4,4,B,533.8638461538463,533.8638461538463,24.0,533.8638461538463,1303.0,0,0,0,0,0,0,0,0,2.0
2017-08-04,2017,8,4,4,C,938.956956521739,938.956956521739,31.0,938.956956521739,158.0,0,0,0,0,0,0,0,0,0.0
2017-08-04,2017,8,4,4,D,3216.2305555555554,3216.2305555555554,39.0,3216.2305555555554,123.0,0,0,0,0,0,0,0,0,0.0
2017-08-05,2017,8,5,5,A,184.18072727272718,184.18072727272718,20.0,184.18072727272718,11984.0,0,0,0,0,0,0,0,0,4.0
2017-08-05,2017,8,5,5,B,532.3253846153848,531.4920512820514,24.0,531.4920512820514,1282.0,0,0,0,0,0,0,0,0,5.0
2017-08-05,2017,8,5,5,C,938.956956521739,938.956956521739,31.0,938.956956521739,158.0,0,0,0,0,0,0,0,0,0.0
2017-08-05,2017,8,5,5,D,3216.2305555555554,3216.2305555555554,39.0,3216.2305555555554,128.0,0,0,0,0,0,0,0,0,0.0
2017-08-06,2017,8,6,6,A,184.18072727272718,184.18072727272718,20.0,184.18072727272718,11977.0,0,0,0,0,0,0,0,0,9.0
2017-08-06,2017,8,6,6,B,532.3894871794873,531.556153846154,24.0,531.556153846154,1421.0,0,0,0,0,0,0,0,0,6.0
2017-08-06,2017,8,6,6,C,938.956956521739,938.956956521739,31.0,938.956956521739,158.0,0,0,0,0,0,0,0,0,0.0
2017-08-06,2017,8,6,6,D,3216.2305555555554,3216.2305555555554,39.0,3216.2305555555554,128.0,0,0,0,0,0,0,0,0,0.0
2017-08-07,2017,8,0,7,A,188.78393442622942,188.78393442622942,20.0,188.78393442622942,13077.0,0,0,0,0,0,0,0,0,8.0
2017-08-07,2017,8,0,7,B,534.46756097561,533.6748780487807,24.0,533.6748780487807,1421.0,0,0,0,0,0,0,0,0,4.0
2017-08-07,2017,8,0,7,C,959.7692307692307,959.7692307692307,31.0,959.7692307692307,218.0,0,0,0,0,0,0,0,0,0.0
2017-08-07,2017,8,0,7,D,3233.629166666666,3233.629166666666,39.0,3233.629166666666,138.0,0,0,0,0,0,0,0,0,0.0
2017-08-08,2017,8,1,8,A,188.69718749999987,188.77531249999987,20.0,188.77531249999987,13130.0,0,0,0,0,0,0,0,0,4.0
2017-08-08,2017,8,1,8,B,531.0795000000002,531.0795000000002,24.0,531.0795000000002,1415.0,0,0,0,0,0,0,0,0,0.0
2017-08-08,2017,8,1,8,C,950.1477777777778,950.1477777777778,31.0,950.1477777777778,223.0,0,0,0,0,0,0,0,0,0.0
2017-08-08,2017,8,1,8,D,3233.629166666666,3233.629166666666,39.0,3233.629166666666,138.0,0,0,0,0,0,0,0,0,0.0
2017-08-09,2017,8,2,9,A,186.541212121212,186.6169696969696,20.0,186.6169696969696,13145.0,0,0,0,0,0,0,0,0,10.0
2017-08-09,2017,8,2,9,B,531.1100000000002,530.3361904761907,24.0,530.3361904761907,1410.0,0,0,0,0,0,0,0,0,2.0
2017-08-09,2017,8,2,9,C,943.4209090909092,943.4209090909092,31.0,943.4209090909092,501.0,0,0,0,0,0,0,0,0,0.0
2017-08-09,2017,8,2,9,D,3166.9061594202894,3166.9061594202894,39.0,3166.9061594202894,138.0,0,0,0,0,0,0,0,0,0.0
2017-08-10,2017,8,3,10,A,187.21040404040392,187.21040404040392,20.0,187.21040404040392,13141.0,0,0,0,0,0,0,0,0,7.0
2017-08-10,2017,8,3,10,B,527.6007317073173,527.1739024390246,24.0,527.1739024390246,2109.0,0,0,0,0,0,0,0,0,6.0
2017-08-10,2017,8,3,10,C,943.7680000000001,943.7680000000001,31.0,943.7680000000001,1506.0,0,0,0,0,0,0,0,0,0.0
2017-08-10,2017,8,3,10,D,3166.9061594202894,3166.9061594202894,39.0,3166.9061594202894,138.0,0,0,0,0,0,0,0,0,0.0
2017-08-11,2017,8,4,11,A,188.26648148148135,188.31277777777765,20.0,188.31277777777765,14074.0,0,0,0,0,0,0,0,0,7.0
2017-08-11,2017,8,4,11,B,530.308048780488,530.308048780488,24.0,530.308048780488,1908.0,0,0,0,0,0,0,0,0,0.0
2017-08-11,2017,8,4,11,C,951.9397297297298,951.9397297297298,31.0,951.9397297297298,1526.0,0,0,0,0,0,0,0,0,0.0
2017-08-11,2017,8,4,11,D,3180.7434027777776,3180.7434027777776,39.0,3180.7434027777776,236.0,0,0,0,0,0,0,0,0,0.0
2017-08-12,2017,8,5,12,A,188.3359259259258,188.3359259259258,20.0,188.3359259259258,14068.0,0,0,0,0,0,0,0,0,3.0
2017-08-12,2017,8,5,12,B,530.308048780488,530.308048780488,24.0,530.308048780488,1907.0,0,0,0,0,0,0,0,0,0.0
2017-08-12,2017,8,5,12,C,951.9397297297298,951.9397297297298,31.0,951.9397297297298,1526.0,0,0,0,0,0,0,0,0,0.0
2017-08-12,2017,8,5,12,D,3180.7434027777776,3180.7434027777776,39.0,3180.7434027777776,236.0,0,0,0,0,0,0,0,0,0.0
2017-08-13,2017,8,6,13,A,188.3359259259258,188.3359259259258,20.0,188.3359259259258,14073.0,0,0,0,0,0,0,0,0,3.0
2017-08-13,2017,8,6,13,B,530.308048780488,530.308048780488,24.0,530.308048780488,1906.0,0,0,0,0,0,0,0,0,2.0
